HOT669 SEQF2286 1 1 1529	Neisseria meningitidis H44/76	GCA_000185025.2_ASM18502v2
HOT895 SEQF2470 1 4 1526	Bifidobacterium animalis subsp. lactis BLC1	GCA_000224965.2_ASM22496v2
HOT895 SEQF2470 3 4 1526	Bifidobacterium animalis subsp. lactis BLC1	GCA_000224965.2_ASM22496v2
HOT895 SEQF2470 2 4 1526	Bifidobacterium animalis subsp. lactis BLC1	GCA_000224965.2_ASM22496v2
HOT895 SEQF2469 2 4 1550	Bifidobacterium animalis subsp. lactis Bl-04	GCA_000022705.1_ASM2270v1
HOT895 SEQF2471 1 4 1550	Bifidobacterium animalis subsp. lactis DSM 10140	GCA_000022965.1_ASM2296v1
HOT895 SEQF2465 1 2 1541	Bifidobacterium animalis subsp. lactis AD011	GCA_000021425.1_ASM2142v1
HOT895 SEQF2469 3 4 1549	Bifidobacterium animalis subsp. lactis Bl-04	GCA_000022705.1_ASM2270v1
HOT895 SEQF2471 4 4 1549	Bifidobacterium animalis subsp. lactis DSM 10140	GCA_000022965.1_ASM2296v1
HOT895 SEQF2471 3 4 1549	Bifidobacterium animalis subsp. lactis DSM 10140	GCA_000022965.1_ASM2296v1
HOT895 SEQF2472 4 4 1549	Bifidobacterium animalis subsp. lactis V9	GCA_000092765.1_ASM9276v1
HOT895 SEQF2472 3 4 1549	Bifidobacterium animalis subsp. lactis V9	GCA_000092765.1_ASM9276v1
HOT895 SEQF2471 2 4 1549	Bifidobacterium animalis subsp. lactis DSM 10140	GCA_000022965.1_ASM2296v1
HOT895 SEQF2474 1 2 1549	Bifidobacterium animalis subsp. lactis BS 01	GCA_000240765.1_BifAniBS01_1.0
HOT895 SEQF2472 2 4 1549	Bifidobacterium animalis subsp. lactis V9	GCA_000092765.1_ASM9276v1
HOT895 SEQF2472 1 4 1549	Bifidobacterium animalis subsp. lactis V9	GCA_000092765.1_ASM9276v1
HOT895 SEQF2475 1 1 1549	Bifidobacterium animalis subsp. lactis HN019	GCA_000172535.1_Blac_1.0
HOT895 SEQF2469 4 4 1549	Bifidobacterium animalis subsp. lactis Bl-04	GCA_000022705.1_ASM2270v1
HOT895 SEQF2469 1 4 1549	Bifidobacterium animalis subsp. lactis Bl-04	GCA_000022705.1_ASM2270v1
HOT895 SEQF2474 2 2 1549	Bifidobacterium animalis subsp. lactis BS 01	GCA_000240765.1_BifAniBS01_1.0
HOT895 SEQF2464 1 4 1530	Bifidobacterium animalis subsp. lactis CNCM I-2494	GCA_000220885.1_ASM22088v1
HOT895 SEQF2464 4 4 1530	Bifidobacterium animalis subsp. lactis CNCM I-2494	GCA_000220885.1_ASM22088v1
HOT895 SEQF2464 2 4 1530	Bifidobacterium animalis subsp. lactis CNCM I-2494	GCA_000220885.1_ASM22088v1
HOT895 SEQF2464 3 4 1530	Bifidobacterium animalis subsp. lactis CNCM I-2494	GCA_000220885.1_ASM22088v1
HOT895 SEQF2465 2 2 1538	Bifidobacterium animalis subsp. lactis AD011	GCA_000021425.1_ASM2142v1
HOT895 895-6185 2 2 1514	Bifidobacterium_animalis_subsp._animalis__HOT_895__Strain_JCM_1190__GB_D86185__Named__G__0	GCA_000021425.1_ASM2142v1
HOT895 SEQF2463 2 4 1549	Bifidobacterium animalis subsp. animalis ATCC 25527	GCA_000260715.1_ASM26071v1
HOT895 SEQF2463 1 4 1549	Bifidobacterium animalis subsp. animalis ATCC 25527	GCA_000260715.1_ASM26071v1
HOT895 SEQF2463 3 4 1549	Bifidobacterium animalis subsp. animalis ATCC 25527	GCA_000260715.1_ASM26071v1
HOT895 SEQF2463 4 4 1549	Bifidobacterium animalis subsp. animalis ATCC 25527	GCA_000260715.1_ASM26071v1
HOT895 SEQF2467 3 4 1232	Bifidobacterium animalis subsp. lactis BB-12	GCA_000025245.1_ASM2524v1
HOT895 SEQF2467 2 4 1232	Bifidobacterium animalis subsp. lactis BB-12	GCA_000025245.1_ASM2524v1
HOT895 SEQF2467 4 4 1232	Bifidobacterium animalis subsp. lactis BB-12	GCA_000025245.1_ASM2524v1
HOT895 SEQF2467 1 4 1232	Bifidobacterium animalis subsp. lactis BB-12	GCA_000025245.1_ASM2524v1
HOT642 SEQF1654 1 1 1530	Scardovia inopinata F0304	GCA_000163755.1_ASM16375v1
HOT642 642F0304 1 1 1497	Scardovia_inopinata__HOT_642__Strain_F0304__GB_GQ131412__Named__G__0	GCA_000163755.1_ASM16375v1
HOT586 SEQF2391 1 1 1532	Parascardovia denticolens IPLA 20019	GCA_000269845.1_ASM26984v1
HOT586 586-9331 1 1 1483	Parascardovia_denticolens__HOT_586__Strain_DSM_10105__GB_D89331__Named__G__0	GCA_000269845.1_ASM26984v1
HOT586 SEQF2021 1 2 1516	Parascardovia denticolens DSM 10105 = JCM 12538	GCA_000191785.1_ASM19178v1
HOT586 SEQF2021 2 2 1516	Parascardovia denticolens DSM 10105 = JCM 12538	GCA_000191785.1_ASM19178v1
HOT586 SEQF1655 1 1 1516	Parascardovia denticolens F0305	GCA_000163835.1_Paras_denticolens_F0305
HOT195 195-8626 1 2 1495	Scardovia_wiggsiae__HOT_195__Strain_C1A_55__GB_AY278626__Named__G__3	GCA_000163835.1_Paras_denticolens_F0305
HOT195 195F0424 2 2 1495	Scardovia_wiggsiae__HOT_195__Strain_F0424__GB_HM596282__Named__G__3	GCA_000163835.1_Paras_denticolens_F0305
HOT198 SEQF2451 1 1 904		Alloscardovia omnicolens F0580	GCA_000466365.1_ASM46636v1
HOT198 198-2583 1 2 1485	Alloscardovia_omnicolens__HOT_198__Strain_CCUG_31649__GB_NR_042583__Named__G__2	GCA_000466365.1_ASM46636v1
HOT198 198H6-M4 2 2 1485	Alloscardovia_omnicolens__HOT_198__Strain_H6-M4__GB_AF385524__Named__G__2	GCA_000466365.1_ASM46636v1
HOT407 407-8612 1 1 1478	Bifidobacteriaceae_[G-2]_sp.__HOT_407__Clone_C5AKM003__GB_AY278612__Phylotype__X__0	GCA_000466365.1_ASM46636v1
HOT810 810F0209 2 2 1468	Atopobium_sp.__HOT_810__Strain_F0209__GB_EU592966__Unnamed__G__1	GCA_000466365.1_ASM46636v1
HOT810 SEQF2455 1 1 1501	Atopobium sp. oral taxon 810 str. F0209	GCA_000466405.1_ASM46640v1
HOT810 810-9768 1 2 1468	Atopobium_sp.__HOT_810__Strain_BV3Ac1__GB_JN809768__Unnamed__G__1	GCA_000466405.1_ASM46640v1
HOT806 SEQF1933 1 1 1450	Olsenella profusa F0195	GCA_000468755.1_OprofF0195v1.0
HOT806 806-2374 1 1 1470	Olsenella_profusa__HOT_806__Strain_D315A-29__GB_AF292374__Named__G__2	GCA_000468755.1_OprofF0195v1.0
HOT939 939-2362 1 1 1351	Olsenella_sp.__HOT_939__Clone_ncd319g05c1__GB_HM312362__phylotype__X__1	GCA_000468755.1_OprofF0195v1.0
HOT809 809F0206 1 1 1470	Olsenella_sp.__HOT_809__Strain_F0206__GB_EU592965__Unnamed__G__1	GCA_000468755.1_OprofF0195v1.0
HOT809 SEQF1670 1 1 1503	Olsenella sp. oral taxon 809 str. F0356	GCA_000233535.1_Olsenella_sp_F0356_V1
HOT038 038-2373 1 1 1470	Olsenella_uli__HOT_038__Strain_ATCC_49627__GB_AF292373__Named__G__3	GCA_000233535.1_Olsenella_sp_F0356_V1
HOT038 SEQF2631 1 1 1464	Olsenella uli MSTE5	GCA_000524335.1_OulMSTE5v1.0
HOT038 SEQF1031 1 1 1503	Olsenella uli DSM 7084	GCA_000143845.1_ASM14384v1
HOT807 SEQF2751 2 2 1525	Olsenella sp. oral taxon 807 F0089	GCA_001189515.2_ASM118951v2
HOT807 SEQF2751 1 2 1525	Olsenella sp. oral taxon 807 F0089	GCA_001189515.2_ASM118951v2
HOT807 807F0004 1 1 1470	Olsenella_sp.__HOT_807__Strain_F0004__GB_EU592964__Unnamed__G__4	GCA_001189515.2_ASM118951v2
HOT416 416-8623 1 1 1469	Atopobium_sp.__HOT_416__Clone_C3MLM018__GB_AY278623__Unnamed__G__0	GCA_001189515.2_ASM118951v2
HOT814 SEQF1729 1 1 1504	Atopobium vaginae DSM 15829	GCA_000159235.2_ASM15923v2
HOT814 814-5325 1 1 1471	Atopobium_vaginae__HOT_814__Strain_VA14183_00__GB_AF325325__Named__G__1	GCA_000159235.2_ASM15923v2
HOT814 SEQF2037 1 1 1467	Atopobium vaginae PB189-T1-4	GCA_000179715.1_ASM17971v1
HOT674 674-7148 1 1 1475	Atopobium_minutum__HOT_674__Strain_NCFB_2751__GB_X67148__Named__G__1	GCA_000179715.1_ASM17971v1
HOT674 SEQF2483 2 2 1508	Atopobium minutum 10063974	GCA_000364325.1_Atop_minu_V1
HOT674 SEQF2483 1 2 1508	Atopobium minutum 10063974	GCA_000364325.1_Atop_minu_V1
HOT723 SEQF1084 1 1 1500	Atopobium parvulum DSM 20469	GCA_000024225.1_ASM2422v1
HOT723 723-2372 1 1 1467	Atopobium_parvulum__HOT_723__Strain_ATCC22793__GB_AF292372__Named__G__5	GCA_000024225.1_ASM2422v1
HOT723 SEQF2726 1 1 1517	Atopobium parvulum DNF00906	GCA_000758945.1_04_NF40_HMP1647v01
HOT199 199-C19 1 1 1467		Atopobium_sp.__HOT_199__Clone__C019__GB_AF287760__Unnamed__G__2	GCA_000758945.1_04_NF40_HMP1647v01
HOT199 SEQF1949 2 4 1500	Atopobium sp. oral taxon 199 str. F0494	GCA_000411555.1_Atop_sp_oral_taxon_199_F0494_V1
HOT199 SEQF1949 1 4 1500	Atopobium sp. oral taxon 199 str. F0494	GCA_000411555.1_Atop_sp_oral_taxon_199_F0494_V1
HOT199 SEQF1949 4 4 1500	Atopobium sp. oral taxon 199 str. F0494	GCA_000411555.1_Atop_sp_oral_taxon_199_F0494_V1
HOT199 SEQF1949 3 4 1500	Atopobium sp. oral taxon 199 str. F0494	GCA_000411555.1_Atop_sp_oral_taxon_199_F0494_V1
HOT750 750-2371 1 1 1468	Atopobium_rimae__HOT_750__Strain_ATCC49626__GB_AF292371__Named__G__4	GCA_000411555.1_Atop_sp_oral_taxon_199_F0494_V1
HOT750 SEQF1003 1 1 1426	Atopobium rimae ATCC 49626	GCA_000174015.1_ASM17401v1
HOT602 SEQF1599 2 5 830		Slackia exigua ATCC 700122	GCA_000162875.1_ASM16287v1
HOT602 SEQF1599 1 5 492		Slackia exigua ATCC 700122	GCA_000162875.1_ASM16287v1
HOT602 SEQF1599 4 5 1301	Slackia exigua ATCC 700122	GCA_000162875.1_ASM16287v1
HOT602 602-1240 2 2 1468	Slackia_exigua__HOT_602__Strain_ATCC_700122__GB_AF101240__Named__G__3	GCA_000162875.1_ASM16287v1
HOT602 SEQF1599 5 5 1495	Slackia exigua ATCC 700122	GCA_000162875.1_ASM16287v1
HOT579 579F0066 1 1 1429	Cryptobacterium_curtum__HOT_579__Strain_F0066__GB_GQ422741__Named__G__3	GCA_000162875.1_ASM16287v1
HOT579 SEQF1480 3 3 1504	Cryptobacterium curtum DSM 15641	GCA_000023845.1_ASM2384v1
HOT579 SEQF1480 2 3 1504	Cryptobacterium curtum DSM 15641	GCA_000023845.1_ASM2384v1
HOT579 SEQF1480 1 3 1504	Cryptobacterium curtum DSM 15641	GCA_000023845.1_ASM2384v1
HOT602 602-4045 1 2 1467	Slackia_exigua__HOT_602__Strain_S4-C6__GB_JX104045__Named__G__3	GCA_000023845.1_ASM2384v1
HOT602 SEQF1599 3 5 525		Slackia exigua ATCC 700122	GCA_000162875.1_ASM16287v1
HOT654 654-2375 1 1 1462	Eggerthella_lenta__HOT_654__Strain_ATCC_25559__GB_AF292375__Named__G__0	GCA_000162875.1_ASM16287v1
HOT654 SEQF1498 1 3 1497	Eggerthella lenta DSM 2243	GCA_000024265.1_ASM2426v1
HOT654 SEQF1498 2 3 1497	Eggerthella lenta DSM 2243	GCA_000024265.1_ASM2426v1
HOT654 SEQF1498 3 3 1497	Eggerthella lenta DSM 2243	GCA_000024265.1_ASM2426v1
HOT805 SEQF2182 2 2 1501	Treponema pallidum subsp. pallidum str. Chicago	GCA_000024485.1_ASM2448v1
HOT805 SEQF2429 2 2 1496	Treponema pallidum subsp. pallidum str. Mexico A	GCA_000304295.1_ASM30429v1
HOT805 805-8726 1 1 1524	Treponema_pallidum__HOT_805__Strain_Nichols__GB_M88726__Named__G__0	GCA_000304295.1_ASM30429v1
HOT805 SEQF2182 1 2 1495	Treponema pallidum subsp. pallidum str. Chicago	GCA_000024485.1_ASM2448v1
HOT805 SEQF1499 2 2 1495	Treponema pallidum subsp. pallidum SS14	GCA_000017825.1_ASM1782v1
HOT805 SEQF2429 1 2 1495	Treponema pallidum subsp. pallidum str. Mexico A	GCA_000304295.1_ASM30429v1
HOT805 SEQF1062 2 2 1495	Treponema pallidum subsp. pallidum str. Nichols	GCA_000008605.1_ASM860v1
HOT805 SEQF1062 1 2 1495	Treponema pallidum subsp. pallidum str. Nichols	GCA_000008605.1_ASM860v1
HOT805 SEQF1499 1 2 1495	Treponema pallidum subsp. pallidum SS14	GCA_000017825.1_ASM1782v1
HOT805 SEQF1419 1 2 1537	Treponema pallidum subsp. pallidum DAL-1	GCA_000246815.1_ASM24681v1
HOT805 SEQF1419 2 2 1537	Treponema pallidum subsp. pallidum DAL-1	GCA_000246815.1_ASM24681v1
HOT805 SEQF1326 1 2 1537	Treponema pallidum subsp. pertenue str. Gauthier	GCA_000246795.1_ASM24679v1
HOT805 SEQF1328 1 2 1537	Treponema pallidum subsp. pertenue str. CDC2	GCA_000246775.1_ASM24677v1
HOT805 SEQF1326 2 2 1537	Treponema pallidum subsp. pertenue str. Gauthier	GCA_000246795.1_ASM24679v1
HOT805 SEQF1328 2 2 1537	Treponema pallidum subsp. pertenue str. CDC2	GCA_000246775.1_ASM24677v1
HOT805 SEQF1350 2 2 1537	Treponema pallidum subsp. pertenue str. SamoaD	GCA_000246755.1_ASM24675v1
HOT805 SEQF2545 2 2 1537	Treponema pallidum str. Fribourg-Blanc	GCA_000387485.1_ASM38748v1
HOT805 SEQF2545 1 2 1537	Treponema pallidum str. Fribourg-Blanc	GCA_000387485.1_ASM38748v1
HOT805 SEQF1350 1 2 1537	Treponema pallidum subsp. pertenue str. SamoaD	GCA_000246755.1_ASM24675v1
HOT0232 232-T019 1 1 1482	Treponema_sp.__HOT_232__Clone__T019__GB_AF023059__Phylotype__X__0	GCA_000246755.1_ASM24675v1
HOT227 227BA223 1 1 1482	Treponema_sp.__HOT_227__Clone_BA223__GB_AF056339__Phylotype__X__2	GCA_000246755.1_ASM24675v1
HOT0234 234-Y001 1 1 1482	Treponema_sp.__HOT_234__Clone__Y001__GB_AF023056__Phylotype__X__3	GCA_000246755.1_ASM24675v1
HOT667 SEQF1940 2 2 1538	Treponema medium ATCC 700293	GCA_000413035.1_Trep_medi_ATCC_700293_V1
HOT667 SEQF1940 1 2 1004	Treponema medium ATCC 700293	GCA_000413035.1_Trep_medi_ATCC_700293_V1
HOT667 667-3051 1 1 1482	Treponema_medium__HOT_667__Clone__C007__GB_AF023051__Named__G__3	GCA_000413035.1_Trep_medi_ATCC_700293_V1
HOT231 231-T021 1 1 1482	Treponema_sp.__HOT_231__Clone__T021__GB_AF023055__Phylotype__X__4	GCA_000413035.1_Trep_medi_ATCC_700293_V1
HOT237 237-G057 4 4 1482	Treponema_sp.__HOT_237__Clone__G057__GB_AF056337__Phylotype__X__4	GCA_000413035.1_Trep_medi_ATCC_700293_V1
HOT237 237AT024 2 4 1482	Treponema_sp.__HOT_237__Clone_AT024__GB_AF061350__Phylotype__X__4	GCA_000413035.1_Trep_medi_ATCC_700293_V1
HOT237 237AT039 1 4 1482	Treponema_sp.__HOT_237__Clone_AT039__GB_AF061349__Phylotype__X__4	GCA_000413035.1_Trep_medi_ATCC_700293_V1
HOT237 237-1822 3 4 1482	Treponema_sp.__HOT_237__Clone_P4GB_42__GB_AY341822__Phylotype__X__4	GCA_000413035.1_Trep_medi_ATCC_700293_V1
HOT029 SEQF1947 2 2 1538	Treponema vincentii F0403	GCA_000412995.1_Trep_vinc_F0403_V1
HOT029 029-3309 1 1 1482	Treponema_vincentii__HOT_029__Strain_ATCC_35580__GB_AF033309__Named__G__4	GCA_000412995.1_Trep_vinc_F0403_V1
HOT029 SEQF1610 1 1 1518	Treponema vincentii ATCC 35580	GCA_000175895.1_ASM17589v1
HOT029 SEQF1947 1 2 1538	Treponema vincentii F0403	GCA_000412995.1_Trep_vinc_F0403_V1
HOT230 230AF068 2 2 1484	Treponema_sp.__HOT_230__Clone_AF068__GB_AY005081__Phylotype__X__3	GCA_000412995.1_Trep_vinc_F0403_V1
HOT230 230-D013 1 2 1484	Treponema_sp.__HOT_230__Clone__D013__GB_AF023053__Phylotype__X__3	GCA_000412995.1_Trep_vinc_F0403_V1
HOT228 228-T031 1 1 1482	Treponema_sp.__HOT_228__Clone__T031__GB_AF023054__Phylotype__X__3	GCA_000412995.1_Trep_vinc_F0403_V1
HOT236 236AF016 1 1 1482	Treponema_sp.__HOT_236__Clone_AF016__GB_AF056338__Phylotype__X__2	GCA_000412995.1_Trep_vinc_F0403_V1
HOT238 238AT020 1 1 1481	Treponema_sp.__HOT_238__Clone_AT020__GB_AF061347__Phylotype__X__3	GCA_000412995.1_Trep_vinc_F0403_V1
HOT226 226-G054 1 1 1481	Treponema_sp.__HOT_226__Clone__G054__GB_AF023062__Phylotype__X__2	GCA_000412995.1_Trep_vinc_F0403_V1
HOT235 235-D047 1 1 1481	Treponema_sp.__HOT_235__Clone__D047__GB_AF023063__Phylotype__X__2	GCA_000412995.1_Trep_vinc_F0403_V1
HOT242 242AU076 1 1 1482	Treponema_sp.__HOT_242__Clone_AU076__GB_AF182831__Phylotype__X__2	GCA_000412995.1_Trep_vinc_F0403_V1
HOT239 239JU031 1 2 1480	Treponema_sp.__HOT_239__Clone_JU031__GB_AY349416__Phylotype__X__2	GCA_000412995.1_Trep_vinc_F0403_V1
HOT239 239AF026 2 2 1480	Treponema_sp.__HOT_239__Clone_AF026__GB_AF061348__Phylotype__X__2	GCA_000412995.1_Trep_vinc_F0403_V1
HOT584 SEQF1061 2 2 1516	Treponema denticola ATCC 35405	GCA_000008185.1_ASM818v1
HOT584 584-1236 2 2 1477	Treponema_denticola__HOT_584__Strain_ATCC_33520__GB_M71236__Named__G__5	GCA_000008185.1_ASM818v1
HOT584 SEQF1061 1 2 1516	Treponema denticola ATCC 35405	GCA_000008185.1_ASM818v1
HOT584 SEQF1878 2 2 1533	Treponema denticola ATCC 33521	GCA_000338595.1_Trep_dent_ATCC_33521_V1
HOT584 SEQF1869 2 2 1533	Treponema denticola H-22	GCA_000340645.1_Trep_dent_H-22_V1
HOT584 SEQF1872 2 2 1533	Treponema denticola ASLM	GCA_000338635.1_Trep_dent_ASLM_V1
HOT584 SEQF1866 1 2 1533	Treponema denticola OTK	GCA_000340705.1_Trep_dent_OTK_V1
HOT584 SEQF1872 1 2 1533	Treponema denticola ASLM	GCA_000338635.1_Trep_dent_ASLM_V1
HOT584 SEQF1871 2 2 1533	Treponema denticola US-Trep	GCA_000340745.1_Trep_dent_US-Trep_V1
HOT584 SEQF1878 1 2 1533	Treponema denticola ATCC 33521	GCA_000338595.1_Trep_dent_ATCC_33521_V1
HOT584 SEQF1871 1 2 1533	Treponema denticola US-Trep	GCA_000340745.1_Trep_dent_US-Trep_V1
HOT584 SEQF1869 1 2 1533	Treponema denticola H-22	GCA_000340645.1_Trep_dent_H-22_V1
HOT584 SEQF1866 2 2 1533	Treponema denticola OTK	GCA_000340705.1_Trep_dent_OTK_V1
HOT584 SEQF1865 1 2 1533	Treponema denticola ATCC 33520	GCA_000338615.1_Trep_dent_ATCC_33520_V1
HOT584 SEQF1865 2 2 1533	Treponema denticola ATCC 33520	GCA_000338615.1_Trep_dent_ATCC_33520_V1
HOT584 SEQF1679 1 1 1533	Treponema denticola F0402	GCA_000191825.1_Trep_dent_F0402_V1
HOT584 SEQF1864 1 2 1533	Treponema denticola ATCC 35404	GCA_000340685.1_Trep_dent_ATCC_35404_V1
HOT584 SEQF1864 2 2 1533	Treponema denticola ATCC 35404	GCA_000340685.1_Trep_dent_ATCC_35404_V1
HOT584 SEQF1867 2 2 1533	Treponema denticola SP37	GCA_000338455.1_Trep_dent_SP37_V1
HOT584 SEQF1877 1 2 1533	Treponema denticola SP44	GCA_000413075.1_Trep_dent_SP44_F0466_V1
HOT584 SEQF1867 1 2 1533	Treponema denticola SP37	GCA_000338455.1_Trep_dent_SP37_V1
HOT584 SEQF1877 2 2 1533	Treponema denticola SP44	GCA_000413075.1_Trep_dent_SP44_F0466_V1
HOT584 SEQF1874 1 2 1533	Treponema denticola SP23	GCA_000413115.1_Trep_dent_SP23_F0463_V1
HOT584 SEQF1874 2 2 1533	Treponema denticola SP23	GCA_000413115.1_Trep_dent_SP23_F0463_V1
HOT584 SEQF1873 2 2 1533	Treponema denticola AL-2	GCA_000340725.1_Trep_dent_AL-2_V1
HOT584 SEQF1873 1 2 1533	Treponema denticola AL-2	GCA_000340725.1_Trep_dent_AL-2_V1
HOT584 584-D012 1 2 1477	Treponema_denticola__HOT_584__Clone__D012__GB_AF023030__Named__G__5	GCA_000340725.1_Trep_dent_AL-2_V1
HOT584 SEQF1876 1 2 1533	Treponema denticola SP33	GCA_000338475.1_Trep_dent_SP33_V1
HOT584 SEQF1875 2 2 1533	Treponema denticola SP32	GCA_000413095.1_Trep_dent_SP32_F0464_V1
HOT584 SEQF1875 1 2 1533	Treponema denticola SP32	GCA_000413095.1_Trep_dent_SP32_F0464_V1
HOT584 SEQF1876 2 2 1533	Treponema denticola SP33	GCA_000338475.1_Trep_dent_SP33_V1
HOT584 SEQF1870 1 2 1533	Treponema denticola MYR-T	GCA_000338515.1_Trep_dent_MYR-T_V1
HOT584 SEQF1868 1 2 1533	Treponema denticola H1-T	GCA_000340605.1_Trep_dent_H1-T_V1
HOT584 SEQF1870 2 2 1533	Treponema denticola MYR-T	GCA_000338515.1_Trep_dent_MYR-T_V1
HOT584 SEQF1868 2 2 1533	Treponema denticola H1-T	GCA_000340605.1_Trep_dent_H1-T_V1
HOT743 SEQF2771 2 2 1555	Treponema putidum OMZ 758	GCA_000755145.1_ASM75514v1
HOT743 743-9249 1 1 1499	Treponema_putidum__HOT_743__Strain_OMZ_844__GB_AY369249__Named__G__2	GCA_000755145.1_ASM75514v1
HOT743 SEQF2771 1 2 1553	Treponema putidum OMZ 758	GCA_000755145.1_ASM75514v1
HOT247 247-G093 1 1 1482	Treponema_sp.__HOT_247__Clone__G093__GB_AF023032__Phylotype__X__4	GCA_000755145.1_ASM75514v1
HOT246 246-T001 1 1 1477	Treponema_sp.__HOT_246__Clone__T001__GB_AF023031__Phylotype__X__2	GCA_000755145.1_ASM75514v1
HOT249 249-C053 1 1 1476	Treponema_sp.__HOT_249__Clone__C053__GB_AF023037__Phylotype__X__0	GCA_000755145.1_ASM75514v1
HOT252 252BA213 1 1 1474	Treponema_sp.__HOT_252__Clone_BA213__GB_AF056341__Phylotype__X__2	GCA_000755145.1_ASM75514v1
HOT508 508-3618 1 1 1474	Treponema_sp.__HOT_508__Clone_MB2_G19__GB_DQ003618__Phylotype__X__2	GCA_000755145.1_ASM75514v1
HOT518 518-3625 1 1 1473	Treponema_sp.__HOT_518__Clone_MB4_G11__GB_DQ003625__Phylotype__X__2	GCA_000755145.1_ASM75514v1
HOT254 254AT013 1 1 1474	Treponema_sp.__HOT_254__Clone_AT013__GB_AF182836__Phylotype__X__2	GCA_000755145.1_ASM75514v1
HOT0951 951-0103 1 1 1476	Treponema_sp.__HOT_951__Clone_303D03__GB_AM420103__Phylotype__X__2	GCA_000755145.1_ASM75514v1
HOT517 517-3624 1 1 1476	Treponema_sp.__HOT_517__Clone_MB3_P23__GB_DQ003624__Phylotype__X__2	GCA_000755145.1_ASM75514v1
HOT253 253BQ032 1 1 1495	Treponema_sp.__HOT_253__Clone_BQ032__GB_AF182838__Phylotype__X__3	GCA_000755145.1_ASM75514v1
HOT250 250-D024 1 1 1478	Treponema_sp.__HOT_250__Clone__D024__GB_AF023028__Phylotype__X__0	GCA_000755145.1_ASM75514v1
HOT251 251-U008 1 1 1476	Treponema_sp.__HOT_251__Clone__U008A__GB_AF056340__Phylotype__X__1	GCA_000755145.1_ASM75514v1
HOT256 256BB003 1 1 1493	Treponema_sp.__HOT_256__Clone_BB003__GB_AF182835__Phylotype__X__2	GCA_000755145.1_ASM75514v1
HOT769 769-3307 6 6 1469	Treponema_socranskii_subsp._paredis__HOT_769__Strain_ATCC_35535__GB_AF033307__Named__G__5	GCA_000755145.1_ASM75514v1
HOT769 769-3306 2 6 1493	Treponema_socranskii_subsp._socranskii__HOT_769__Strain_ATCC_35536__GB_AF033306__Named__G__5	GCA_000755145.1_ASM75514v1
HOT769 SEQF2757 1 1 1539	Treponema socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536	GCA_000468115.1_TsocrATCC35536v1.0
HOT769 769-3305 5 6 1469	Treponema_socranskii_subsp._buccale__HOT_769__Strain_ATCC_35534__GB_AF033305__Named__G__5	GCA_000468115.1_TsocrATCC35536v1.0
HOT769 769-3308 4 6 1469	Treponema_socranskii_subsp._04__HOT_769__Strain_D11B-2__GB_AF033308__Named__G__5	GCA_000468115.1_TsocrATCC35536v1.0
HOT769 769-C044 3 6 1469	Treponema_socranskii_subsp._A__HOT_769__Clone__C044__GB_AF056344__Named__G__5	GCA_000468115.1_TsocrATCC35536v1.0
HOT769 769-G047 1 6 1469	Treponema_socranskii_subsp._B__HOT_769__Clone__G047__GB_AF056343__Named__G__5	GCA_000468115.1_TsocrATCC35536v1.0
HOT269 269-D15 1 1 1493		Treponema_sp.__HOT_269__Strain_D15A-4__GB_AY005083__Lost__X__2	GCA_000468115.1_TsocrATCC35536v1.0
HOT268 268IL034 2 2 1494	Treponema_sp.__HOT_268__Clone_IL034__GB_AY349418__Phylotype__X__3	GCA_000468115.1_TsocrATCC35536v1.0
HOT268 268-D120 1 2 1470	Treponema_sp.__HOT_268__Strain__D120CR-1__GB_AF033303__Lost__X__3	GCA_000468115.1_TsocrATCC35536v1.0
HOT724 724-3304 1 1 1479	Treponema_parvum__HOT_724__Strain_D96NR-3__GB_AF033304__Named__X__2	GCA_000468115.1_TsocrATCC35536v1.0
HOT264 264BZ013 1 1 1499	Treponema_sp.__HOT_264__Clone_BZ013__GB_AF385536__Phylotype__X__0	GCA_000468115.1_TsocrATCC35536v1.0
HOT263 263BH022 1 1 1475	Treponema_sp.__HOT_263__Clone_BH022__GB_AF182837__Phylotype__X__0	GCA_000468115.1_TsocrATCC35536v1.0
HOT262 262AT040 1 1 1475	Treponema_sp.__HOT_262__Clone_AT040__GB_AF182834__Phylotype__X__3	GCA_000468115.1_TsocrATCC35536v1.0
HOT265 265-U007 1 1 1475	Treponema_sp.__HOT_265__Clone__U007A__GB_AF023046__Phylotype__X__0	GCA_000468115.1_TsocrATCC35536v1.0
HOT257 257-D36 1 1 1473		Treponema_sp.__HOT_257__Strain__D36ER-1__GB_AF023044__Lost__X__4	GCA_000468115.1_TsocrATCC35536v1.0
HOT541 541-3045 1 1 1475	Treponema_amylovorum__HOT_541__Strain_D62CR12__GB_AF023045__Named__X__3	GCA_000468115.1_TsocrATCC35536v1.0
HOT927 927-9278 1 1 1381	Treponema_sp.__HOT_927__Clone_nbu415h07c1__GB_GQ039278__Phylotype__X__0	GCA_000468115.1_TsocrATCC35536v1.0
HOT725 725-1237 1 1 1495	Treponema_pectinovorum__HOT_725__Strain_ATCC_33768__GB_M71237__Named__X__2	GCA_000468115.1_TsocrATCC35536v1.0
HOT270 270DD012 1 1 1503	Treponema_sp.__HOT_270__Clone_DD012__GB_GQ422733__Phylotype__X__3	GCA_000468115.1_TsocrATCC35536v1.0
